t,Equal Weight,Max Sharpe,Min Volatility,Risk Parity
2023-11-07 04:00:00,114971.59679772632,116154.79238627836,101626.1982277573,109453.35030266047
2023-11-08 04:00:00,114971.59679772632,116154.79238627836,101626.1982277573,109453.35030266047
2023-11-09 04:00:00,114971.59679772632,116154.79238627836,101626.1982277573,109453.35030266047
2023-11-10 04:00:00,114971.59679772632,116154.79238627836,101626.1982277573,109453.35030266047
2023-11-13 04:00:00,114971.59679772632,116154.79238627836,101626.1982277573,109453.35030266047
2023-11-14 04:00:00,114971.59679772632,116154.79238627836,101626.1982277573,109453.35030266047
2023-11-15 04:00:00,114971.59679772632,116154.79238627836,101626.1982277573,109453.35030266047
2023-11-16 04:00:00,114971.59679772632,116154.79238627836,101626.1982277573,109453.35030266047
2023-11-17 04:00:00,114971.59679772632,116154.79238627836,101626.1982277573,109453.35030266047
2023-11-20 04:00:00,114971.59679772632,116154.79238627836,101626.1982277573,109453.35030266047
2023-11-21 04:00:00,114971.59679772632,116154.79238627836,101626.1982277573,109453.35030266047
2023-11-22 04:00:00,114971.59679772632,116154.79238627836,101626.1982277573,109453.35030266047
2023-11-23 04:00:00,114971.59679772632,116154.79238627836,101626.1982277573,109453.35030266047
2023-11-24 04:00:00,114971.59679772632,116154.79238627836,101626.1982277573,109453.35030266047
2023-11-27 04:00:00,114971.59679772632,116154.79238627836,101626.1982277573,109453.35030266047
2023-11-28 04:00:00,114971.59679772632,116154.79238627836,101626.1982277573,109453.35030266047
2023-11-29 04:00:00,114971.59679772632,116154.79238627836,101626.1982277573,109453.35030266047
2023-11-30 04:00:00,114971.59679772632,116154.79238627836,101626.1982277573,109453.35030266047
2023-12-01 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2023-12-04 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2023-12-05 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2023-12-06 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2023-12-07 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2023-12-08 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2023-12-11 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2023-12-12 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2023-12-13 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2023-12-14 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2023-12-15 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2023-12-18 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2023-12-19 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2023-12-20 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2023-12-21 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2023-12-22 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2023-12-25 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2023-12-26 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2023-12-27 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2023-12-28 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2023-12-29 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2024-01-01 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2024-01-02 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2024-01-03 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2024-01-04 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2024-01-05 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2024-01-08 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
