final_value,Method
471821.7079636167,historical
349249.7445752688,historical
203010.50691539707,historical
301766.046364595,historical
312599.8837429392,historical
191929.18371443535,historical
346710.3753896173,historical
356828.0540872256,historical
348955.01538357505,historical
217377.8172846322,historical
286076.73137549154,historical
261442.16203759244,historical
337344.8632425461,historical
383299.4348867909,historical
253599.33122614145,historical
333147.54755386995,historical
271745.5737286728,historical
415589.49224776303,historical
231618.96949014827,historical
489651.51795703487,historical
242184.351136004,historical
290627.1878192516,historical
191898.981069324,historical
510300.4046635932,historical
384293.4491592033,historical
203458.81959470664,historical
276767.0403186671,historical
403018.16941602,historical
320286.46329623857,historical
357863.83943711733,historical
330493.4125112882,historical
270450.4816349879,historical
367798.4821388736,historical
366198.5737695479,historical
343071.3915169541,historical
297039.7522121963,historical
326556.66191020014,historical
300328.3173747894,historical
285713.264574047,historical
260997.42039910585,historical
188984.7504961124,historical
283891.78074134525,historical
287034.6244208188,historical
384840.6317693824,historical
287621.2341560604,historical
340601.15159301425,historical
311261.24413103715,historical
628919.1385492613,historical
441485.5300202039,historical
403278.1476158016,historical
291683.2284264626,historical
326891.47200567496,historical
354575.1259580417,historical
282303.18064556574,historical
248373.2296730329,historical
415187.2117733889,historical
339222.49508843216,historical
236248.8698543971,historical
223523.15199934551,historical
367204.8543999307,historical
272092.4462362184,historical
351380.3993607764,historical
232154.62941041405,historical
283837.9426836797,historical
433007.0519804788,historical
246050.4625612541,historical
353413.34906225675,historical
249890.66199830637,historical
369303.5633161971,historical
422777.92827315984,historical
298609.05032318307,historical
264647.07501953543,historical
405378.077568628,historical
468163.1364513674,historical
515886.12802059046,historical
217787.07631019404,historical
258898.53329123984,historical
266221.1449093464,historical
389722.8863474716,historical
384973.6737444924,historical
312453.6158371477,historical
186832.99831633383,historical
277945.5932592723,historical
351798.16848551127,historical
314074.4616916321,historical
373469.3811684045,historical
257050.3655086214,historical
470378.8191753893,historical
262779.53262117674,historical
262326.7907232755,historical
229520.96426732696,historical
701624.2227965588,historical
357905.07392344414,historical
295605.7292519672,historical
253088.98162108607,historical
313498.5977854694,historical
339923.455953162,historical
364567.27995549736,historical
274809.43733125686,historical
481653.0362045834,historical
378499.6976315139,historical
415258.9441637228,historical
194864.93358915183,historical
283031.709172382,historical
315800.4684815785,historical
367608.2695913924,historical
250836.2945744097,historical
307865.65142898186,historical
333822.6600171749,historical
387091.4724786936,historical
415524.93488569785,historical
252117.5329519426,historical
619970.969669697,historical
275574.2285986134,historical
268160.16287516465,historical
344390.5223581807,historical
299701.7142225424,historical
306996.6332814234,historical
327496.8231722248,historical
408784.21681325417,historical
269130.4061291447,historical
224977.15810146404,historical
291431.5975751248,historical
314941.31975235627,historical
227141.6978213198,historical
187846.13159018455,historical
432381.1144442543,historical
307270.92549466144,historical
240890.99881563356,historical
463146.81955264,historical
362649.0397970472,historical
574192.8310610327,historical
280444.9973100329,historical
302835.36824427085,historical
478589.74377104896,historical
429924.3134890461,historical
339222.7237296642,historical
356600.0930873622,historical
252648.82571409512,historical
411115.0617840232,historical
320954.7005981935,historical
280827.27667612466,historical
284979.90601596265,historical
308078.2532292162,historical
275900.2701005251,historical
303379.1201878772,historical
327018.1899221012,historical
239914.9329434803,historical
373360.8566510948,historical
371304.4860277311,historical
196285.39324547743,historical
359612.9858534577,historical
442649.3121342455,historical
339400.5592626308,historical
209554.53248478984,historical
298013.58508876944,historical
422599.5705810164,historical
410053.4585351117,historical
398973.09375401953,historical
181409.07270437584,historical
260611.598439658,historical
213203.4218750512,historical
230503.67885657505,historical
340679.1261773535,historical
344655.2828114373,historical
476468.78685208526,historical
302015.33001789835,historical
441950.7051999698,historical
525856.0971033211,historical
312598.14838681684,historical
376413.6354994169,historical
290410.2968449263,historical
331916.49578879337,historical
242811.11090393,historical
394653.2585476617,historical
309033.7811483898,historical
283186.6466392353,historical
360076.8841791507,historical
462320.9152946143,historical
314898.7824062843,historical
315058.51549185213,historical
242151.6706828448,historical
250710.30591148484,historical
341007.7087349443,historical
